no;RES_ID;LABEL;RESPONSE
1;TRA1;1;intetraksi/beradaptasi terhadap lingkungan yang baru.
2;TRA2;0;seperti jatuhnya meteor tsunami gempa bumi
3;TRA3;0;hanya tuhan yang tahu tantangan nya itu apaan
4;TRA4;1;mereka akan sulit beradaptasi
5;TRA5;1;Tempat tinggal, ekonomi, dan pekerjaan
6;TRA6;1;akan terganggu dengan kesehatanya karena merekanperlu beradaptasi dengan lingkungan yang baru.
7;TRA7;0;Mereka tidak akan di hormati oleh orang layaknya mereka di hormati di dalam tempat tinggal mereka yang lama
8;TRA8;1;mereka akan kehilangan lahan pertanian.
9;TRA9;0;"Pada kasus-kasus seperti salah satunya yang terjadi di Travina, warga mungkin dipaksa untuk menjadi ""pengungsi iklimâ€. Pengungsi iklim adalah orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan."
10;TRA10;0;mendapat musibah dan melawannya
11;TRA11;1;karena mereka butuh tempat tinggal baru
12;TRA12;0;Akan kehilangan tempat tinggal yang lama atau komunitas karena bencana alam.
13;TRA13;0;mereka akan pindah ke tempat yang dulu
14;TRA14;1;beradaptasi
15;TRA15;0;Pengungsi iklim ini orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.
16;TRA16;0;karna mereka tidak mau terkena iklim yang sangat beser
17;TRA17;1;keadaan yg tidak memadai serta kurangnya fasilitas di tempat pengungsian kegiatan jadi tidak dapat dilakukan seperti biasanya maknanya mereka tidak bebas melakukan sesuatu
18;TRA18;0;Pengungsi iklim adalah orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.
19;TRA19;0;fkjgrioejtklejtdfljlkgr
20;TRA20;0;merasa aneh
21;TRA21;1;satu tantangan yang akan dihadapi pengungsi adalah kehilangan pekerjaan mereka yaitu pekerjaan bertani atau nelayan dan itulah salah satu pencaharian mereka selama menetap di Travina.
22;TRA22;0;akan terjadinya perubahan tempat
23;TRA23;0;karena,akan ada bencana alam yang akan datang
24;TRA24;1;Mereka perlu adaptasi dan harus rela berpisah dengan tembat lamanya yang kemungkinan lahan tersebut akan hilang
25;TRA25;1;tidak terjamin dengan semua kebutuhannya, dan sulit untuk beradaptasi dengan tempat baru
26;TRA26;0;orang-orang yang trpaksa meninggalkan komunitas atau negaranya karna bercanda lingkungan
27;TRA27;1;Mereka tidak akan mudah menyesuaikan hidup mereka di tempat baru
28;TRA28;1;mereka akan kehilangan sebagian besar atau bahkan semua lahan pertanian mereka
29;TRA29;1;tidak mempunyai tempat yang tetap
30;TRA30;1;masalah yang dapatdidapatkan oleh pengngungsi itu adalah penggunaan bahasa, dan pencarian lapangan kerja, tempat tinggal.
31;TRA31;1;mereka akan kehilangan lahan pertanian sektor pariwisata dan perikanan dan tempat tinggal mereka.
32;TRA32;0;penderitaan panas nya cuaca iklim
33;TRA33;0;Warga di Travina akan mengalami bencana yang besar dan disebabkan oleh perubahan iklim .
34;TRA34;0;MEREKA AKAN MENINGGALKAN NEGARANYA, DAN MEREKA AKAN MENJADI PUENGUNGSI YANG MEMBUTUHKAN BANTUAN DARI NEGARA LAIN, MEREKA JUGA MEMBUTUHKAN NEGARA MANA YANG HARUS MENJADI PENGUNGSI
35;TRA35;1;tantanganya adalah mereka harus beradapatsi lagi dengan lingkungan barunya.
36;TRA36;1;akan terjadi lama proses adaptasi yang dilakukan oleh para pengunsi iklim tersebut.
37;TRA37;0;komunitas dan negara
38;TRA38;1;Tantangan pengungsi iklim adalah lahan pekerjaan yang ia tempati dulu akan hilang, karena ia harus meninggalkan negaranya karena bencana lingkungan yang ada di negaranya.
39;TRA39;1;beradaptasi dengan lingkungan yang baru
40;TRA40;0;tantanganya adalah akan meninggalkan tempat tinggal dan perkebunan yang dimiliki
41;TRA41;0;sulit mencari lahan pertanian
42;TRA42;1;Harus mencari tempat untuk bekerja, membangun rumah dan berkenalan dengan orang asing
43;TRA43;1;penyesuaian lingkungan dan masalah imigrasi, seperti amerika yang menolak imigran/pendatang dari luar
44;TRA44;1;kehilangan segalanya
45;TRA45;1;sebagian dari mereka akan kehilangan lahan dan keluarganya.
46;TRA46;1;sulit beradaptasi dengan wilayah barunya
47;TRA47;1;ia susah untuk beradaptasi
48;TRA48;1;Mereka harus bisa beradaptasi dengan lingkungan barunya.
49;TRA49;0;kalau tidak pindah kita terkena bencana
50;TRA50;1;penguisi iklim adalah orang orang yang terpaksa meningalkan komunikasi atau negaranya karena karena beencna
51;TRA51;1;mereka harus beradaptasi dengan tempat tersebut dan harus merelakan rumah dan harta nya tengelam
52;TRA52;1;tantangan yang pasti akan dihadapi oleh orang-orang Travina menjadi pengungsi iklim adalah harusnya berbaur dengan baik sesuai dengan aturan dan tatanan yang ada ditempat baru yang akan ditinggali
53;TRA53;0;pengungsi iklim
54;TRA54;1;Mereka akan beradaptasi dengan tempat mereka yang baru, dan mereka harus menerima keadaan tempat mereka yang baru serta menjalani cara hidup yang baru ditempat tersebut
55;TRA55;1;akan kehilangan komunitas dan negaranya
56;TRA56;0;kehidupan yang tidak sama dengan kehidupan yang biasa mereka jalani di negaranya
57;TRA57;1;mereka harus rela kehilangan tempat tinggal yang mereka miliki sebelumnya karena pengaruh bencana alam yang tidak dapat dilewati
58;TRA58;1;mereka harus mengusahakan tempat mereka pindah untuk bertahan hidup dan harus menyesuaikan diri dengan lingkungan baru mereka
59;TRA59;1;Warga Travina tidak betah untuk tinggal di tempat lain bukan tempat asalnya ,tidur pun suka tidak nyenyak dan makanan pun tidak sebanyak di tempat tinggal dulu ,mandi pun harus rela mengantri dengan pengungsi iklim lainnya
60;TRA60;1;mereka harus memulai lingkungan yang baru, beradaptasi dengan lingkungan mereka yang baru, dan membangun rumah atau pertanian di tempat baru tersebut
61;TRA61;1;Mereka akan susah beradaptasi pada lingkungan yang baru dan mereka akan susah mendapat keahlian yang dibutuhkan di tempat yang baru
62;TRA62;1;mereka harus beradaptasi dengan tampat baru yang mereka akan tinggal,memulai hidup baru mereka juga akan sangat sulit mendapatkan pekerjaan
63;TRA63;1;mereka akan kesusahan dalam mencari kerja,mencari usaha dan lain lain.
64;TRA64;1;masalah tempat tingal dan barang berharga
65;TRA65;1;ketidak nyamanan berpindah
66;TRA66;1;mareka merasakan sesuatu yang tidak enak karna meningalkan nerara ,keluarga,DAN lain-lain
67;TRA67;1;mereka harus memulai hidup baru dan harus tinggal dengan keadaan yang berbeda dari sebelumnya.
68;TRA68;0;berwaspada
69;TRA69;1;membuat kembali lahan pertanian/ lahan pekerjaan yang sudah ditinggalkan di negara tersebut
70;TRA70;0;mengungsi ke daerah lainya ,karena komunitas atau negara lainya terpaksa meninggalkan adanya bencana lingkungan
71;TRA71;1;pengungsi iklim akan kehilangan harta benda meraka,lahan meraka dikarenakan jika mereka telah menetap disana dan sukses disana maka mereka akan bersusah payah merintis lagi dari nol.
72;TRA72;1;menahan rasa suhu tubuh yang ada di iklim negara tersebut
73;TRA73;1;bersosialisasi dengan orang-orang baru dan beradaptasi dengan lingkungan sekitarnya yang baru
74;TRA74;1;Akan sulit unutk menyesuaikan diri dengan lingkungan
75;TRA75;1;tidak coccok dengan iklim yang akan ditempatinya
76;TRA76;1;Terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.
77;TRA77;0;Pengungsi iklim adalah orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.
78;TRA78;0;Mereka akan rugi karena mereka akan meninggalkan lahan pertanian mereka yang sudah tumbuh subur.
79;TRA79;0;harus lebih waspada lagi tentang keadaan sekitar nya
80;TRA80;1;meninggalkan tempat baru yang telah di tempat i selama ini dan akan kehilangan semuanya.dan akan mengulang hidup baru dari lingkungan baru .
81;TRA81;1;Kehilangan matapencarian atau mungkin keluarga
82;TRA82;1;Mereka akan bergaul dengan iklim yang baru,biasanya susah atau lama untuk beradaptasi dengan iklim baru
83;TRA83;1;satu tantangan yang akan dihadapi oleh para pengungsi iklim ketika pindah ketempat yang baru yaitu beradaptasi dengan lingkungannya yang baru.
84;TRA84;1;mereka akan kekuranngan lahan
85;TRA85;1;Tantangan yang akan dihadapi para pengungsi iklim ini adalah mereka harus bisa beradaptasi dengan lingkungan barunya yang mungkin jauh berbeda dari tempat tinggal mereka sebelumnya dan harus memulai dari awal untuk mencari lahan pekerjaan mereka.
86;TRA86;1;tantangan nya yaitu apabila mereka pidah ke tempat yang baru maka mereka akan tidak terbiasa dengan daerah yang mereka tempati.
87;TRA87;1;yang pertama pasti cuacanya, yang perlu beradaptasi. dengan lingkungannya
88;TRA88;1;mereka mungkin kurang mendapatkan pekerjaan dan tempat tinggal yang layak bagi mereka
89;TRA89;1;tidak bisa menyesuaikan diri dengan tempat baru
90;TRA90;0;belajar
91;TRA91;1;mengenal orang oramg baru/asing yag akan beradaptasi dari awal
92;TRA92;0;karena travina adalah orang orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan dan dia menyenang dapet tempat tinggal baru.
93;TRA93;0;mereka akan kehilangan film dokumenter populer
94;TRA94;0;tidak terbiasa dengan itu
95;TRA95;1;Tantangannya yang akan dihadapi adalah adanya rasa ketidak nyamanan yang mereka rasakan karena faktor lingkungan yang berbeda dari keadaan yang pernah mereka rasakan sebelumnya.
96;TRA96;1;mereka akan kekurangan bahan pangan,pakaian dan obat-obatan. mereka harus saling berbagi tempat dan rela sempit-sempitan.mereka akan serba kekurangan.
97;TRA97;1;Mereka akan kehilangan kehilangan tempat tinggalnya
98;TRA98;1;tentunya kondisi keuangan warga-warga travina akan menurun. mereka tidak bisa bertani lagi karena lahan pertanian merkea yang hilang. para pekerja di bidang pariwisata akan berkurang karena banyak warga travina yang mengungsi dan tempat-tempat tujuan wisatawan yang rusak.
99;TRA99;0;tantangannya ialah penduduk akan kehilangan hasil dari pertanian yang mereka hasilkan dari lahan yang mereka tinggalkan
100;TRA100;0;pekerjan akan menjadi hilang dan lahan pertanianakan berkurang.
101;TRA101;1;Karena tidak semua tempat beriklim sama, semua warga Travina juga harus menyesuaikan diri terhadap lingkungan dan iklim saat mereka pindah ke tempat yang baru.
102;TRA102;1;trepisah oleh komunitas nya,,,dan mencari tempat tinggal baru
103;TRA103;1;untuk pindah ke daerah yang aman
104;TRA104;1;Satu tantangan yang akan dihadapi para pengungsi iklim saat pindah ke tempat baru yaitu penyesuaian/adaptasi dengan iklim tempat baru yang mereka tempati, mungkin akan sangat berbeda dengan yang ada di Travina.
105;TRA105;1;mereka akan kehilangan lahan mereka yang telah mereka garap selama ini dan akan kehilangan harta benda.
106;TRA106;1;tempat mungkin kurang layak bagi mereka yang menjadi pngungsi iklim ehinggga bisa mrnjadi ebuah tantangaan
107;TRA107;1;tidak memiliki tempat tinggal, kehilangan lahan nya
108;TRA108;1;akan susah untuk beradaptasi terhadap lingkunggan dan juga terhadap iklim yang baru.
109;TRA109;1;akan ber nsama dengan orang lain dan mengungsi demi keselamatan agar terhindar dari bencana iklim tersebut dan untuk waspada sebelum terjadi bencana iklim tersebut
110;TRA110;1;Mereka harus meninggalakn kebiasaan mereka saat masih di travina dan harus beradaptasi dengan lingkungan baru mereka
111;TRA111;1;sulit menyesuaikan diri dengan keadan alam di tempat tersebut
112;TRA112;1;pasti akan sangat kesepian dan yang pasti belum terlalu adaptasi
113;TRA113;1;tantangan yang di hadapi adalah saat mereka pindah ke tempat yang tinggi atau baru ia akan kehilangan lahan pertaniannya
114;TRA114;1;tidak mendapat kehidupan yang layank karena tidak dapat pekejaan yang tepat sesuai dengan keahlian yang dimilikinya
115;TRA115;1;mereka akan mengalami kesulitan untuk mendapatkan kebutuhan sehari hari
116;TRA116;0;tidak memiliki tempat tinggal
117;TRA117;0;warga mungkin dibaksa menjadi pengungsi iklim
118;TRA118;0;akan memiliki tempat tinggal yang baru dan suasana yang baru
119;TRA119;1;adaptasi dengan lingkungan sekitar
120;TRA120;0;orang orang akan meninggalkan komunitas atau negaranya karena bencana lingkungan.
121;TRA121;0;mereka akan mendapatkan suasana yang berbeda.
122;TRA122;1;Mereka akan suilt beradaptasi dan merasa tidak nyaman.
123;TRA123;1;Mereka harus kembali beradaptasi dengan keadaan yang baru, yang mungkin bisa tidak sesuai dengan keafaan di Travina.
124;TRA124;1;pengungsi akan mengalami perubahan iklim dan juga harus bisa beradaptasi pada lingkungan baru
125;TRA125;1;terpaksa meninggalkan komunitas atau negaranya
126;TRA126;1;akan menjadi orr asing ketika pindah tempat
127;TRA127;;lnfl
128;TRA128;1;tantangannya yaitu dari segi makanan dan minuman,dan mereka juga harus bisa menyesuaikan diri dengan lingkungannya yang baru
129;TRA129;1;belum tentu tempat yang di gunakan untuk beroindah lebih aman dari tempat yang sebelumya di tinggali mereka,bisa saja lebih beresiko dari tempat sebelumnya.
130;TRA130;1;beradaptasi dengan iklim baru dan lingkungan baru
131;TRA131;1;Tak terbiasa Belum bisa beradaptasi
132;TRA132;1;akan beradaptasi di tempat yang baru.
133;TRA133;1;harus dapat ber adap tasi sama ling kung sakitar wilaya baru mereka pinda
134;TRA134;1;akan kekurangan makanan dan keperluan lainnya akan kehilangan pekerjaan dan harus beradaptasi ulang di tempat yang baru
135;TRA135;1;meninggaalkan perttanian mereka yang sudah di garap selama ini.
136;TRA136;1;mereka harus bisa beradaptasi denga lingkungan baru nya.
137;TRA137;1;akan lama untuk beradaptasi
138;TRA138;1;Mereka kemungkinan akan kesulitan untuk beradaptasi. Mereka juga akan memerlukan pekerjaan baru untuk memenuhi kebutuhan mereka sehari-hari
139;TRA139;1;perbedaan iklim dan penyesuaian lingkungan
140;TRA140;1;yang di hadapinya ketika di pindahkan di tempat baru adalah sulit menyesuaikan diri di tempat yang baru
141;TRA141;0;mereka akan gugup akan hal yang baru
142;TRA142;1;tantangan pengungsi iklim adalah orang orang terpaksa meninggalkan komunitas atau negaranya karna bencana lingkungan
143;TRA143;1;Mengenal lingkungan baru
144;TRA144;1;tantangannya mereka akan lebih sulit lagi untuk beradaptasi di tempat yang beriklim beda.
145;TRA145;0;negara-negara lain akan menginginkan dukungan yang sama untuk proyek-proyek mereka
146;TRA146;1;terpksa meninggalkan komunitas atau negaranya karena bencana lingkungan
147;TRA147;1;tantangannya adalah terbiasa dengan lingkungan baru.
148;TRA148;1;Perekonomian yang menurun dan mereka harus membangun kehidupan yang baru untuk melanjutkan kehidupannya.
149;TRA149;1;mereka akan kehilangan lahan pertanian mereka.
150;TRA150;0;Akan mendapat suasana baru
151;TRA151;1;jika mereka pindah ke tempat baru, maka mereka harus beradaptasi lagi dari awal. jika mereka pindah ke negara lain, mereka harus mempelajari budaya dan bahasa yang berbeda dari yang mereka miliki. dan juga ada kemungkinan mereka akan dibully oleh penduduk asli tempat tersebut. dan akan terjadi lagi diskriminasi seperti saat dulu diskriminasi terhadap orang hitam dan orang putih.
152;TRA152;1;Berhadapan dengan lingkungan dan budaya yang berbeda sehingga harus dapat beradaptasi dengan cepat dan baik. Belum tentu tempat baru tersebut akan ramah terhadap pengungsi iklim.
153;TRA153;1;beradaptasi dengan linkungan
154;TRA154;1;mereka akan meninggalkan lahan pertanian dan perikanan yang lama mereka kembangkan
155;TRA155;1;kekurangan makananan,kehilangan pekerjaan,belum terbiasa pada lingkungan baru
156;TRA156;1;banyak tantangan yg akan di lalui warga Travina,bukan hanya satu,contohnya mereka akan kehilangan rumah,pertanian dan memulai hidup baru di negara pengungsian mereka. Mereka juga akan beradaptasi & mau-tidak mau harus mengikuti budaya dan keadaan di lingkungan baru mereka.
157;TRA157;0;mereka akan kehilangan segalanya
158;TRA158;1;mendapat tempat tinggal yang belum tentu layak dan nyaman
159;TRA159;1;mereka akan harus beradaptasi dengan lingkungan baru mereka yang mungkin situasi dan kondisinya tidak sama
160;TRA160;0;tantanganakandihadapiparapengunsi
161;TRA161;1;dapat dianggap sebagai imigran yang akan menambah jumlah kepadatan penduduk di suatu daerah
162;TRA162;1;Salah satu tantangan yang akan dihadapi adalah ketika mereka harus mulai terbiasa dengan kehidupan mereka di tempat yang baru. Selaim itu mereka juga harus beradaptasi dengan lingkungan mereka yang baru yang tentunya lingkungan baru itu berbeda dengan tempat tinggal mereka yang dulu.
163;TRA163;1;bisa jadi mereka akan sulit bersosialisasi
164;TRA164;0;pasti adanya penyakit yang tidak diinginkan oleh warga
165;TRA165;1;salahsatunya mereka sulit mendapatkan air,mencri mkan yang akn mereka makan seahri hari,sulit untuk mencri temsn mengobrol atau berbicra dan mereka sulit memahami lingkungan yg mereka tingal sekarang.
166;TRA166;0;sering terjadi masalah
167;TRA167;1;tantangan yang akan dihadapi para pengungsi iklim yaitu susahnya mencari makan atau aktifvitas seperti yang mereka lakukan berhari hari dan hambatan atas kebutuhan yang mereka lukan.sesah untuk berinteraksi dengan orang orang baru
168;TRA168;1;Tantangan yang dihadapi para pengungsi iklim ini ketika mereka pindah ke tempat baru yaitu tidak terjaminnya makanan dan kebutuhan kebutuhan mereka saat di tempat pengungsian.
169;TRA169;1;mereka akan merasakan hal yang sangat berbeda sekali
170;TRA170;1;lebih dikucilkan karna sebagai warga baru yang belum tentu tahu tata tertibnya
171;TRA171;1;mungkin mereka belum mengenal tempat baru mereka dan haru beradaptasi kembali
172;TRA172;1;Perlu menyesuaikan diri kembali
173;TRA173;1;mencari tempat yang baru,perlu beradaptasi dengan lingkungan sekitar,perlu teman baru atau tetangga baru
174;TRA174;1;Satu tantangan yang mungkin dihadapi para pengungsi iklim ketika mereka pindah ketempat baru adalah susahnya beradaptasi dengan tempat yang baru yang pasti berbeda jauh dengan tempat tinggal mereka dulu begitu juga dengan pekerjaan mereka pasti susah dilakukan jika pekerjaan di tempat baru mereka tidah pernah mereka lakukan di tempat tinggal lama mereka
175;TRA175;1;penduduk akan kehilangan lahan pertanian dan perkebunan yang mereka punya
176;TRA176;1;perubahan lingkungan
177;TRA177;1;perlu beradaptasi dengan iklim baru di tempat yang baru
178;TRA178;0;pengungsi iklim akan menghadapi masalah yaitu merasa tidak nyaman karena berada di tempat yang baru dan tidak berada seperti di tempat tinggal nya sendiri
179;TRA179;1;mereka perlu BERADAPTASI dengan lingkungan baru yang mereka tempati
180;TRA180;1;hilangnya lahan pertanian atau brubah nya perekonomian.
181;TRA181;0;pungunsi iklim
182;TRA182;0;kehilangan lingkungan kita akibat bencana .
183;TRA183;0;Kekurangan sumber daya
184;TRA184;1;mereka akan kehilangan tempat tinggal, pekerjaan sehinnga ditempat baru, mereka harus beradaptasi dengan lingkungan baru mereka
185;TRA185;0;kehilagan lahan pertanian penyesuaian tubuh
186;TRA186;1;mereka akan sulit untuk menyesuaikan dirinya di lingkungan baru
187;TRA187;1;sulit mendapat tempat yg cocok untuk tinggal
188;TRA188;1;adaptasi dengan lingkungan baru
189;TRA189;1;mereka harus mencari pekerjaan baru dan harus membiasakan diri kembali di lingkungan yang baru
190;TRA190;1;sulit bersosialisasi dengan keadaan iklim yang ada di tempat yang baru
191;TRA191;1;mereka kehilangan mata pencaharian dan mereka juga kehilangan banyak barang serta mereka juga bakal sibuk untuk terus berpindah pindah seiring berjalannya perubahan iklim
192;TRA192;1;mereka akan kehilangan lahan pertanian mereka
193;TRA193;0;pasi pengungsi bahagia karena dapat tempat untuk mengungsi
194;TRA194;1;sebagian dari mereka akan kehilangan pekerjaan dan akan sulit untuk beradaptasi.
195;TRA195;1;Menurut saya, salah satu tantangan yang dihadapi oleh para pengungsi iklimk adalah : 1. termakannya waktu untuk melakukan perpindahan dari satu tempat ke tempat lainnya. 2. hilangnya mata pencaharian. 3. dana negara mulai menipis. 4. sumber daya alam di tempat yang dulu tidak bisa dimanfaatkan.
196;TRA196;1;membiasakan dengan iklim yang baru
197;TRA197;0;penduduk menigalkan perkebunan mereka ke daerah yang lebih tinggi untuk meng ngusi
198;TRA198;1;perlu beradaptasi
199;TRA199;0;tantangan yang dihadapi adalah warga dipaksa untuk menjadi pengungsi iklim
200;TRA200;1;mereka bisa saja mengalami kesulitan dalam menyesuaikan diri dengan lingkungan yang baru,karena di setiap daerah atau negara pastinya mempunyai perbedaan baik dalam bahasa,budaya dan pergaulan,jadi sudah dipastikan bahwa pengungsi iklim juga akan mengakami hal tersebut.
201;TRA201;1;harus beradaptasi dengan lingkungan barunya juga akan kehilangan lahan pertanian mereka
202;TRA202;1;mereka akan dikucikan bila mereka pindah ketempat yang baru dan mereka akn sulit mendapatkan pertolongan medis dan pendidikan karena mereka tidak tinggal di daerah mereka
203;TRA203;1;tantangan terbesar para pengungsi iklim adalah Beradaptasi dengan tempat barunya nanti.
204;TRA204;1;akan sulit beradap tasi dengan lingkungan baru
205;TRA205;1;Mereka akan sulit mencari makanan dan sektor usaha mereka seperti pertanian akan hilang.
206;TRA206;1;Proses adaptasi mereka dengan lingkungan baru akan susah
207;TRA207;1;dia susah beradaptasi dgn iklim yang di tempat pengungsian karena dia tidak terbiasa dgn iklim seperti itu
208;TRA208;0;Pengungsi iklim adalah orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.
209;TRA209;1;Berinteraksi dengan lingkungan dan kehilangan lahan pertanian dan rumahnya
210;TRA210;0;keadaannya sangat berbeda
211;TRA211;1;mereka harus memulai ulang kehidupan nyha ( mulai dari pekerjaan, ataupun kalu ada sejarah tentang rumah itu sudah ditempati keluarga itu secara turun menurun)
212;TRA212;1;tempat tinggal yang terbatas, makanan dan minuman yang tidak cukup, dan konflik batin yang akan dialami para pengungsi iklim
213;TRA213;1;dia akan merasa berbeda ketika dia tinggal ditempat yang lebih dingin namun kini tinggal ditempat yang lebih panas
214;TRA214;1;Kurangnya lahan yang bisa mereka kembangan seperti untuk lahan pertanian karena biasanya, ketika mereka pindah ke tempat baru. tempat tersebut sudah berpehuni ataupun masih belum terurus
215;TRA215;1;mereka harus beradaptasi pada lingkungan baru lagi mencari teman kerabat yang baru lagi serba baru lah pokoknya
216;TRA216;0;berbuat baik terhadap manyarakat baru
217;TRA217;0;kenaikan permukaan air laut
218;TRA218;0;pertimbangan proyek
219;TRA219;1;lahan pertanian mereka akan rusak'dan rumah mereka akan rusak
220;TRA220;1;mereka akan beradaptasi dengan lingkungan barunya juga mereka akan mengenal budaya lain
221;TRA221;1;warga akan menghadapi kehidupan yang berbeda dari yang sebelumnya baik itu tempat tinggalnya,kebudayaannya,ataupun kesehariaannya.
222;TRA222;1;kehilangan mata pencahariannya dan harus beradaptasi kembali pada lingkungan sekitar
223;TRA223;0;mereka akan terhindar dari bencana yang melanda tempat mereka. dengan berpindah ke tempat yang lain.
224;TRA224;1;para pengungsi akan mendapatkan tantangan seperti sakit karna belum biasa dengan negara yang akan dia ungsikan karna setiap negara memiliki iklim yang berbeda-beda dan jenis asupan makanan yang berbeda-beda
225;TRA225;1;nereka tidak nyaman dengan tempat barunya karena sudah terbiasa dengan tempat lama mereka.
226;TRA226;0;negara munggin menjari donasi hidup baru
227;TRA227;1;mereka harus membiasakan diri mereka terhadap lingkungan baru mereka agar bisa seimbang dengan lingkungan yang mereka mengungsi itu.tetapi mereka juga harus bisa memberika waktu untuk melihat negara mereka untuk memastikan bahwa negara mereka dalam kondisi baik.
228;TRA228;1;antanagn yang akan mereka hadapi mungkin lumayan banyak salah satunya adalah merka harus membiasakann diri terhadap lingkungan. pergi dari negaranya sendiri dan mengungsi di negeri orang yang belum tentu kehidupanya kedepan. sumber kehidupan merka juga tinggalkan, kemungkinan merka akan menganggur.
229;TRA229;0;karna kluarga travina mengungsi ke dataran rendah walau pun mengungsi akan kejadian bajir
230;TRA230;1;mereka akan kehilangan sebagian besar lahan pertanian mereka ,travina akan mencari donasi secepatnya untuk diberikan ywarga ygang sudah kehilangan sebagian besar lahan pertanianya
231;TRA231;1;ekonomi
232;TRA232;1;PASTI MEREKA MERASA RESA DAN GELISA
233;TRA233;1;mencari tempat tinggal baru
234;TRA234;0;mereka akan mendapatkan bencana
235;TRA235;1;tantangan yang akan dihadapi para pengungsi iklim ketika mereka pindah ke tempat baru adalah tidak terbiasa dengan keadaan tempat barunya itu
236;TRA236;0;biar tenang dan aman
237;TRA237;1;meskipun mereka pindah ke tempat yang baru. tetapi mereka akan kehilangan sebagian besar lahan pertanian mereka.
238;TRA238;0;karna membahayakan nyawanya
239;TRA239;0;jika nanti terjadi perubahan iklim gmna???
240;TRA240;0;Kedaan ini adalah pengecualian dan kehidupan orang-orang travina sedang di pertaruhkan
241;TRA241;1;cara menyesuaikan diri di lingkungannya baru
242;TRA242;0;Bagainmana jika pengungsi berpindah dari Travina dan akan terjad lagi yang ia tinggalkan sekarang
243;TRA243;0;warga mungkin dipaksa untuk menjadi pengungsi iklim
244;TRA244;1;tantangan yang paling utama adalah beradaptasi.
245;TRA245;1;mereka tidak dapat beradaptasi terhadap lingkungan barunya. Sehingga mereka akan kesulitan di berbagai aspek
246;TRA246;1;beradaptasi terhadap lingkungan yang baru
247;TRA247;0;terpaksa
248;TRA248;0;akan mendapatkan negara yang bagus dan aman.
249;TRA249;0;APA SATU
250;TRA250;1;beradaptasi
251;TRA251;1;mereka mungkin akan susah untuk beradaptasi dengan lingkungan barunya dan meraka juga mungkin akan memikirikan tentang harta benda yang mereka miliki di lingkungn lamanya
252;TRA252;0;pengungsi ikllim adalah orang-orang yang terpaksa meningalkan komunitas atau negaranya karena bencana lingkungan
253;TRA253;0;meminta bertanggung jawab
254;TRA254;1;bertempat tinggal dengan orang orang yang tidak mereka kenal
255;TRA255;1;Akan bertemu dengan orang-orang baru dan mendapatkan pengalaman-pengalaman yang bebeda dari sebelumnya
256;TRA256;1;susah beradaptasi
257;TRA257;1;pengungsi iklim akan pindah ketempat baru,mungkin akan dapat menolong negara lainnya.
258;TRA258;1;MEREKA AKAN MEMULAI KEHIDUPAN BARU,MEREKA PUN AKAN MENINGALKAN TANAH KELAHIRAN MEREKA
259;TRA259;1;tidak nyaman,memikirkan tempat yang dulu ia tempati,sukar beradaptasi.
260;TRA260;1;harus menyesuaikan dengan linkungan baru
261;TRA261;0;tidak disukai oleh negara lain atau cuma menjadi beban kepada negara yang diungsikan
262;TRA262;1;mereka akann kesusahan mencari pekerjaan karena mereka telah berpindah ke daerah lain yang bukan milik mereka
263;TRA263;1;ia akan kehilangan lahan pertanian dan akan beradaptasi demgam lingkungan barunyabisa jadi juga pengungsi tidak di terima oleh beberapa prnduduk
264;TRA264;1;mereka harus belajar beradaptasi pada lingkungan yang baru
265;TRA265;1;Salah satu tantangan yang akan dihadapi para pengungsi iklim adalah sulit untuk berbaur dan mencari pekerjaan baru demi melakukan kelangsungan hidup di tempat baru.
266;TRA266;1;mereka akan menghadapi lingkungan lain yang mungkin akan memerlukan waktu yang lama untuk beradaptasi
267;TRA267;1;Mereka akan berbaur dengan orang-orang baru, Berusaha untuk menerima budaya baru, mencari kemampuan untuk pekerjaan yang berbeda.
268;TRA268;1;Mencari tempat tinggal
